time,open,high,low,close,Date,Jupiter_Helio,Jupiter_Geo,Saturn_Helio,Saturn_Geo,Mercury_Helio,Mercury_Geo,Uranus_Helio,Uranus_Geo,Neptune_Helio,Neptune_Geo
2014-10-09,353.0,387.13,347.14,364.0,2014-10-09,127.80687433981353,137.05473510471057,234.48231072886628,231.11768709958722,345.00087252461844,210.9523921669239,14.312881862809608,14.254605068951085,336.2155330552556,334.9764048400162
2014-10-10,363.98,379.74,351.15,359.1,2014-10-10,127.88704107074132,137.2137256893109,234.51310911412926,231.22212622376662,349.3697431616212,210.33206289076512,14.3236446344685,14.214115239344912,336.2215393885304,334.95743042512123
2014-10-11,359.1,368.5,351.0,360.66,2014-10-11,127.96719758722386,137.3709434822596,234.54390634682164,231.32728097267005,353.87385641648683,209.57960023108703,14.334407465721785,14.173661238814756,336.2275457259741,334.9388529323049
2014-10-12,361.01,382.46,351.86,378.05,2014-10-12,128.04734389775442,137.52635899760747,234.57470242770614,231.43313622925834,358.518424994337,208.7018228526677,14.34517035662246,14.133259380591202,336.23355206758697,334.9206797830114
2014-10-13,378.05,399.89,368.24,391.2,2014-10-13,128.12748001085535,137.6799416790702,234.6054973575599,231.53967662782986,3.307993759493746,207.7104499278236,14.355933307214265,14.09292624400031,336.23955841336453,334.9029184602081
2014-10-14,391.5,414.42,391.5,399.0,2014-10-14,128.20760593507404,137.83166012601845,234.6362911371766,231.64688646350763,8.246213823517797,206.6226013269538,14.366696317531092,14.052678669325255,336.24556476329747,334.88557647072435
2014-10-15,399.0,402.68,384.7,394.2,2014-10-15,128.28772167897813,137.9814823075555,234.66708376737003,231.75474965581398,13.335584674089437,205.46092892882234,14.377459387596483,14.012533728658006,336.2515711173724,334.8686613041992
2014-10-16,394.2,400.0,370.21,381.6,2014-10-16,128.36782725114887,138.12937573531724,234.6978752489764,231.8632497477285,18.57716808195391,204.2532485683268,14.388222517423525,13.972508687186053,336.2575774755723,334.8521803965363
2014-10-17,381.55,386.8,372.0,382.48,2014-10-17,128.44792266017356,138.27530758903833,234.72866558285705,231.97236992139136,23.97028141346225,203.03159904602782,14.398985707015031,13.932620965115216,336.2635838378778,334.83614110111137
2014-10-18,381.24,396.0,376.4,390.9,2014-10-18,128.52800791463676,138.41924480358372,234.75945476990054,232.08209301627844,29.512182841481913,201.83074925365352,14.409748956364208,13.892888105451457,336.2695902042684,334.8205506675634
2014-10-19,390.92,394.5,383.5,388.02,2014-10-19,128.60808302310983,138.56115413274077,234.79024281102363,232.1924015414469,35.197766559136426,200.68628704014543,14.420512265455976,13.853327748851642,336.2755965747241,334.80541622608183
2014-10-20,388.08,388.25,370.2,380.55,2014-10-20,128.68814799414065,138.70100220650681,234.82102970717168,232.30327767856664,41.01929193483738,199.63252093952445,14.431275634268845,13.81395761402827,336.2816029492275,334.790744774297
2014-10-21,380.86,394.0,376.66,384.0,2014-10-21,128.76820283624258,138.83875559724044,234.85181545931735,232.4147032765594,46.96617571635017,198.70047475742456,14.44203906277745,13.774795480488327,336.2876093277659,334.7765431637617
2014-10-22,384.01,386.7,377.25,378.8,2014-10-22,128.84824755788443,138.97438090687407,234.88260006845758,232.5266598419781,53.0248796457462,197.9162371280611,14.452802550955795,13.735859169420069,336.2936157103334,334.7628180833294
2014-10-23,378.79,383.6,355.0,357.87,2014-10-23,128.92828216748174,139.10784488244568,234.91338353560928,232.63912853186008,59.17892570130841,197.29985011982507,14.463566098780962,13.697166518261605,336.29962209693394,334.74957603747737
2014-10-24,357.87,363.1,351.5,356.58,2014-10-24,129.008306673391,139.2391145603351,234.9441658618029,232.75209015737963,65.40906621339559,196.86481055075805,14.474329706237109,13.658735345052953,336.30562848758234,334.7368233188092
2014-10-25,356.58,358.88,337.65,344.62,2014-10-25,129.08832108390666,139.36815743130333,234.97494704807508,232.86552520661027,71.69362541882926,196.6181498014421,14.485093373319655,13.620583400267746,336.311634882307,334.7245659755639
