time,open,high,low,close
2021-05-03,56617.0825,58984.0825,56507.07,57209.99
2021-05-04,57214.2275,57239.995,53085.2875,53239.4225
2021-05-05,53225.2725,57972.755,52946.1525,57511.91
2021-05-06,57513.26,58426.74,55270.4925,56439.795
2021-05-07,56437.5075,58726.755,55304.0325,57384.81
2021-05-08,57386.145,59546.02,56988.975,58969.925
2021-05-09,58964.3875,59295.8225,56280.6075,58303.4025
2021-05-10,58324.56,59594.7475,53501.0775,55879.4175
2021-05-11,55872.7375,56946.8125,54512.495,56759.9075
2021-05-12,56760.32,58011.03,48496.25,49459.7575
2021-05-13,49450.7875,51405.1925,45563.375,49685.1225
2021-05-14,49693.9575,51556.9275,48898.6675,49890.035
2021-05-15,49895.6275,50746.59,46559.7625,46756.4075
2021-05-16,46763.9825,49806.77,43796.375,46456.4725
2021-05-17,46453.9,46644.6125,42098.05,43577.1775
2021-05-18,43570.15,45842.2975,42302.9575,42879.025
2021-05-19,42891.2675,43585.1975,29876.05,36752.975
2021-05-20,36769.6325,42660.3975,34997.25,40612.6375
2021-05-21,40609.395,42286.12,33519.3575,37335.305
2021-05-22,37328.5525,38870.15,35259.9525,37485.48
2021-05-23,37477.6875,38295.44,31100.325,34730.7875
2021-05-24,34737.5725,39967.605,34431.2175,38853.5125
2021-05-25,38858.4525,39860.555,36489.3825,38384.4825
2021-05-26,38376.97,40889.7,37840.425,39294.965
2021-05-27,39295.2675,40425.205,37188.82,38536.2775
2021-05-28,38560.21,38900.745,34709.115,35685.1975
2021-05-29,35687.235,37323.2525,33658.335,34619.3575
2021-05-30,34636.9375,36507.8075,33409.8625,35676.71
2021-05-31,35670.66,37524.72,34196.4875,37308.4825
2021-06-01,37279.855,37923.395,35701.03,36685.2475
2021-06-02,36685.9975,38237.2675,35926.55,37580.4475
2021-06-03,37578.315,39484.6825,37180.7675,39229.3325
2021-06-04,39239.695,39272.9225,35582.8275,36864.8875
2021-06-05,36858.225,37925.7275,34834.3925,35536.965
2021-06-06,35536.7,36487.52,35257.32,35803.195
2021-06-07,35802.6825,36805.445,33330.3475,33584.455
2021-06-08,33569.8925,34070.955,31011.84,33412.1675
2021-06-09,33409.7075,37544.0575,32424.52,37401.73
2021-06-10,37413.4225,38426.9825,35815.685,36685.765
2021-06-11,36704.15,37677.5,35961.76,37336.5825
2021-06-12,37336.5875,37451.13,34668.78,35546.655
2021-06-13,35554.6275,39394.805,34789.5325,39026.525
2021-06-14,39026.76,41063.925,38756.7575,40534.765
2021-06-15,40534.46,41335.225,39501.835,40174.73
2021-06-16,40165.33,40495.2475,38094.855,38349.0475
2021-06-17,38352.3575,39560.6975,37373.78,38091.5475
2021-06-18,38101.2875,38208.0925,35147.245,35828.5925
2021-06-19,35835.41,36452.9525,34841.135,35496.7275
2021-06-20,35490.5575,36126.265,33351.2325,35592.295
2021-06-21,35593.3025,35749.11,31257.92,31628.705
2021-06-22,31613.265,33316.2275,28804.4,32531.0825
2021-06-23,32533.8975,34902.905,31901.5075,33676.2075
2021-06-24,33690.8925,35292.6925,32320.885,34666.66
2021-06-25,34670.1475,35304.64,31288.2575,31594.5075
2021-06-26,31589.3075,32712.1025,30170.08,32275.4475
2021-06-27,32275.5875,34732.8275,32014.125,34690.9775
2021-06-28,34706.3675,35308.1725,33875.2425,34488.3475
2021-06-29,34494.635,36650.9475,34247.8525,35907.5775
2021-06-30,35899.955,36094.52,34049.84,35041.1075
2021-07-01,35068.0775,35086.5175,32711.0625,33534.25
2021-07-02,33519.6675,33975.1025,32713.1325,33809.2275
2021-07-03,33806.4,34945.935,33331.0525,34684.7125
2021-07-04,34682.1675,35960.8775,34393.62,35293.315
2021-07-05,35283.9775,35287.76,33120.04,33697.2525
2021-07-06,33704.8575,35107.0525,33530.5075,34232.385
2021-07-07,34225.53,35075.04,33803.905,33882.7525
2021-07-08,33876.09,33941.29,32106.4,32883.2225
2021-07-09,32882.375,34105.7475,32279.99,33818.1725
2021-07-10,33824.505,34258.9525,33033.635,33519.4025
2021-07-11,33518.1,34602.9775,33335.9075,34251.9575
2021-07-12,34265.07,34670.7275,32671.06,33103.185
2021-07-13,33092.655,33335.505,32199.885,32727.8275
2021-07-14,32741.04,33113.145,31586.635,32819.0775
2021-07-15,32816.695,33185.58,31120.0775,31856.78
2021-07-16,31878.485,32256.475,31028.84,31394.39
2021-07-17,31389.82,31946.51,31177.1675,31527.1125
2021-07-18,31519.79,32442.1125,31120.5,31784.15
2021-07-19,31789.0925,31888.68,30414.8975,30830.1625
2021-07-20,30831.7525,31053.175,29293.86,29793
2021-07-21,29794.42,32862.605,29501.505,32135.375
2021-07-22,32136.545,32608.6425,31732.375,32291.6375
2021-07-23,32290.7475,33654.655,32025.225,33654.6525
2021-07-24,33655.2825,34521.015,33425.55,34289.215
2021-07-25,34291.6475,35446.245,33882.625,35428.2675
2021-07-26,35430.06,40564.455,35263.77,37268.7025
2021-07-27,37263.5325,39538.9575,36401.5875,39484.85
2021-07-28,39470.8,40917.8875,38799.6525,40026.4275
2021-07-29,40026.5025,40641.5425,39251.695,40029.9225
2021-07-30,40032.8975,42319.4675,38343.0175,42228.505
2021-07-31,42234.57,42406.4825,41051.2775,41493.865
2021-08-01,41497.9925,42604.7975,39425.6425,39867.6725
2021-08-02,39872.8,40451.5925,38691.27,39156.295
2021-08-03,39153.2425,39787.14,37619.825,38180.29
2021-08-04,38180.1375,39962.585,37497.5125,39728.1325
2021-08-05,39734.64,41421.1325,37316.515,40889.9125
2021-08-06,40889.615,43390.41,39889.4825,42839.7175
2021-08-07,42863.7275,44746.2375,42415.8175,44624.2
2021-08-08,44626.305,45363.41,43300.3225,43842.615
2021-08-09,43835.855,46502.635,42820.3725,46291.175
2021-08-10,46285.605,46723.825,44650.37,45599.3
2021-08-11,45600.155,46769.7525,45361.335,45553.7625
2021-08-12,45553.4275,46217.5025,43787.135,44424.67
2021-08-13,44415.9,47917.52,44254.8975,47838.4075
2021-08-14,47838.43,48178.0075,46030.8225,47115.0775
2021-08-15,47119.12,47400.905,45521.2425,47022.2825
2021-08-16,47021.725,48067.1475,45673.53,45917.8125
2021-08-17,45916.9025,47168.075,44412.1,44680.955
2021-08-18,44666.2,46026.9725,44224.0825,44702.93
2021-08-19,44676.69,47081.7475,43960.1375,46764.05
2021-08-20,46764.96,49409.025,46655.3275,49343.1725
2021-08-21,49345.1575,49814.37,48291.675,48872.535
2021-08-22,48873.46,49532.9275,48078.0475,49288.8975
2021-08-23,49291.6275,50518.98,49038.71,49530.47
2021-08-24,49512.7875,49873.9325,47602.265,47713.01
2021-08-25,47688.3725,49265.45,47122.21,49000.2575
